디톡시,1068,일원,0,1
디파스타,429,효창공원앞,0,0.5
딘타이펑,82140,수리산,0,12345
딜런스테이블,145,청량리,4.3,0
딥블루레이크커피,33,등촌,4.1,0
딱좋아,70734,금천구청,0,0.5
딸깍발이,709,낙성대,3.7,0.75
때가이르매,6096,경마공원,0,0
떡고을,176,충무로,4.3,0.153846154
떡볶이랑걸레만두랑,174,창신,0,12345
떡애,None,영등포시장,0,0.25
떼루와,6777,무악재,0,3
또모찌,179,동대문,4.3,0.2
또순이네,4583,이촌,4.5,0.426666667
또순이순대,474,상록수,0,12345
뚜띠쿠치나,5927,성환,0,0
뚜레쥬르,115531,암사,3.3,0.666666667
뚜스뚜스,3834,을지로3가,4.4,0.411764706
뚝배기집,None,쌍문,3.7,0.6
뚱가네수제갈비,48,소요산,0,12345
뚱보꼬치,10,거여,3.4,0.8
뜨락,7455,신흥,0,1
뜨락가든,9,방화,0,0
띵스체인지,312,금천구청,3.8,0.375
띵호와쉐쉐,None,금호,0,1
라고파스타,1792,장지,2.9,4
라구,8801,단대오거리,0,2
라듀레,3608,남영,4,0
라떼플로라,3985,서울대입구,4.5,0.25
라라코스트,90476,역촌,0,0
라망,10819,신정,0,0
라멘모토,5667,남영,4.3,0.307692308
라멘미세,358,선바위,0,1
라멘베라보,3446,상수,4.7,0.119047619
라밥,2733,구산,0,1
라보엠,6505,신중동,4,0.1875
라세느,29076,신반포,3.2,2
라스커피,1063,세마,0,0
라에스키모,7604,원흥,0,0
라온식탁,117,봉천,0,0
라운드테이블,3674,송정,0,1
라이라이,3459,학동,3.9,0.2
라이차이,663,명일,0,0.333333333
라치오,1411,신목동,0,1
라크라센타,6217,도림천,0,1
라페름,21417,병점,0,0
라플랑끄,3041,중곡,3.3,0.285714286
란주천면관,13,증미,4.2,0.210526316
란주칼면,5587,세류,0,12345
램쿡,1073,안암,4.5,0.23255814
램하우스,298,장한평,3.7,0.2
랩트웬티포,1000,양재,4,0.111111111
레드락,52453,먹골,2.9,3
레드브릭,4382,노원,3.8,0.583333333
레드올리브,1137,봉은사,4.1,0.6
레스토랑핫이슈,18,영등포시장,0,1
레시피나인,8447,모란,4,0.285714286
레시피타운,778,고속터미널,4.3,0.923076923
레알라면,748,김포공항,3.2,1.6
레어그루브,1045,양평,0,0
레오네,5757,망원,4.3,0.529411765
레이어드,218704,거여,0,1
로리스더프라임립,5509,숙대입구,3.6,1
로맨틱스탠다드,5906,과천,0,12345
로보쿡,13769,금천구청,3.1,1.5
로빈스커피,206,소사,0,12345
로사우니카,1459,삼산체육관,0,0
로얄인디아,269,소사,0,0
로이스,118091,선유도,3.9,0.722222222
로이스퀸,1383,신림,3.4,1.142857143
로이스타코,815,응암,3.1,6
로이앤벨라,49,광흥창,0,12345
로이즈,8579,가양,3.4,1.666666667
로지스시,724,증미,3.4,1.666666667
록키즈버거,1380,종로3가,4.6,0.301369863
롤링핀,67821,지행,0,0
루나리치,4013,안산,0,0
루다미일식,172,한대앞,0,0
루소랩,4939,녹양,0,12345
루스티크,796,서대문,3.9,0.0625
루엘드파리,7064,백운,0,12345
루틴,17360,오목교,4.1,0.684210526
루프탑바플로팅,133,지행,0,1
루하커피,980,대방,0,3
류지,5639,먹골,0,1
르번미,9924,중앙,3.2,0.8
르빵,9097,화곡,3,2.666666667
르빵프레,1071,화정,2.9,3
르시엘,1189,고려대,3.5,1
르헤브드베베,2256,논현,4.4,0.320754717
리도,3332,군자,3.9,0.666666667
리레케이크,386,망원,4.3,0.509090909
리버벨,5493,신대방,0,3
리북집,19727,수유,3.8,0.181818182
리사르커피로스터스,2116,잠실,4.4,0.294117647
리얼후라이,3525,을지로입구,4.5,0.433962264
리장수,728,쌍문,0,2
리코스퍼블릭,104,동대문,3.9,0.555555556
리틀모모야,53,정부과천청사,4,0.2
리틀사이공,21206,보문,0,0.333333333
리틀크레이지피자,417,보산,0,1
리틀톡스커피,268,송정,3.9,0.25
리틀하노이,1889,문정,3.8,0.45
리화인와플,1256,문래,3.9,0.666666667
린,40130,한강진,4.4,0.42
림벅와플,8437,이태원,4.6,0.222222222
마고미,142,명동,4.1,0.86
마굿간생고기,1264,신사,4.4,0.235294118
마네키,11832,교대,4.2,0
